id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
589,atocor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
590,ascoril plus ls expectorant,Asthakind-LS Expectorant Cola Sugar Free,Nakuf LS+ SF Expectorant Cherry Sugar Free,Piritexyl-LS SF Expectorant,Tuspel LS 1 Expectorant,Macbery LS Expectorant Sugar Free,Nausea,Vomiting,Diarrhea
591,aztor 5 tablet,Orvas 5 Tablet,Zivast 5 Tablet,Atorslim 5mg Tablet,Nustat 5mg Tablet,Atorise 5mg Tablet,Dyspepsia,Abdominal pain,Indigestion
592,aziwok 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
593,avastin 100mg injection,Bevnexxa 100mg Injection,Advamab 100mg Injection,Krabeva 100mg Injection,Bevacirel 100mg Injection,Bevarest 100mg Injection,Rectal bleeding,Taste change,Headache
594,acitrin 25mg capsule,Bdace 25mg Capsule,Sentrane 25mg Capsule,Glacitret 25mg Capsule,Acitkon 25mg Capsule,Acitinext 25 Capsule,Dryness in mouth,Skin peeling,Itching
595,antiblue 10mg tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
596,arpimune me 50mg capsule,Cyclonox 50mg Soft Gelatin Capsule,Sorigo 50mg Soft Gelatin Capsule,Sandimmun Neoral 50mg Soft Gelatin Capsule,Sandimmun Neoral 50mg Soft Gelatin Capsule,,Headache,Nausea,Vomiting
597,azithral tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
598,ampiclox 250mg/250mg tablet,Synclox Kid Tablet,Baxin 250 mg/250 mg Tablet,RACLOX-LB 250MG/250MG TABLET,Tobiotic 250mg/250mg Tablet,Carolox Tablet,Allergic reaction,Rash,Stomach pain
599,analiv 500 tablet,Hepacure Tablet,Hepmend 500mg Tablet,Lornit 500 Tablet,,,"Injection site reactions (pain, swelling, redness)",,
600,actifed 25 mg/2.5 mg tablet,,,,,,Nausea,Headache,Nervousness
601,amlong a-25 tablet,Betacard-AM 5mg/25mg Tablet,DavaIndia Amlodipine+Atenolol 5mg/25mg Tablet,Numlo-AT 5mg/25mg Tablet,Amlokos AT 5mg/25mg Tablet,Dipinol 5 mg/25 mg Tablet,Sleepiness,Headache,Ankle swelling
602,azibact 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
603,alendrate 70mg tablet,Gatofos 70mg Tablet,Alendix 70mg Tablet,Rafomax 70mg Tablet,Alenost 70mg Tablet,Alenfos 70mg Tablet,Diarrhea,Headache,Heartburn
604,amrosys cream,Amrolstar Cream,Amrfy XL 0.25% Cream,Amrolstar Cream,Amrobest Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation
605,aminophylline 250mg injection,,,,,,Irritation,Frequent urge to urinate,Nausea
606,ambrican 5 tablet,Zambri 5mg Tablet,Ibitan 5mg Tablet,Pulmonext 5 Tablet,Endobloc 5 Tablet,Volibris Tablet,Sinus inflammation,Nasal congestion (stuffy nose),Peripheral edema
607,arkamin h tablet,,,,,,Sedation,Dryness in mouth,Decreased potassium level in blood
608,alex-l cough syrup mango sugar free,Zerotuss Oral Suspension,Kofdip Oral Suspension Mango,Coff-Tuss Oral Suspension Mango,Zerotuss Oral Suspension Sugar Free,Lecofil LC Oral Suspension Delicious Mango,Nausea,Drowsiness,Dizziness
609,atorfit 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
610,alphagan p eye drop,Brimosun P Eye Drop,,,,,Blurred vision,Drowsiness,Headache
611,arzep nasal spray,Azelast Nasal Spray,Azep Nasal Spray,Nazohist 0.1% Nasal Spray,Azevent Nasal Spray,,Bitter taste,Nasal irritation,
612,angizem cd 90 capsule er,Dilzem CD 90 Capsule ER,,,,,Headache,Constipation,Dizziness
613,advent 457mg tablet dt,Novamox CV 400mg/57mg Tablet DT,Mega CV Forte 400mg/57mg Tablet DT,Augpen Forte 400mg/57mg Tablet DT,Delpoclav 457mg Tablet DT,Clavam Forte DT Tablet,Nausea,Vomiting,Abdominal pain
614,alcros 200 capsule,Candiforce 200 Capsule,Candirap 200 Capsule,Candiforce 200 Capsule,Canditral 200 Capsule,Syntran 200 Capsule,Nausea,Common cold,Cough
615,amixide tablet,Trixide 25 mg/10 mg Tablet,Trixide-H 25mg/10mg Tablet,Mytrip Plus Tablet,Amitone Forte 25 mg/10 mg Tablet,Emotrip 25 mg/10 mg Tablet,Constipation,Difficulty in urination,Weight gain
616,aztogold 10 capsule,Atorlip Gold 10 Capsule,Clavix Gold 10 Capsule,Lipicure Gold 10 Capsule,Atormac Gold 10 Capsule,Atonita Gold 75mg/10mg/75mg Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
617,alcoban 500mg tablet,DavaIndia Disulfiram 500mg Tablet,Cronodol 500mg Tablet,Disfit 500 Tablet,Dizone 500mg Tablet,Gigadif 500mg Tablet,Headache,Fatigue,Drowsiness
618,arvast-a 75 capsule,Rozutin AP 10mg/75mg Capsule,Rosur Asp Capsule,Rosycap-ASP 10/75 Capsule,Zyrova ASP 75 Capsule,Roseday-A 10 Capsule,Nausea,Headache,Constipation
619,amlopin-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
620,azilab 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
621,amnuring 10 tablet sr,Micobal-A Tablet SR,Amnurite  10 Tablet SR,,,,Constipation,Difficulty in urination,Weight gain
622,ablung 200mg tablet sr,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting
623,afoglip tablet,Ecoglip-T Tablet,Dynaglipt Tablet,Tenlimac Tablet,Megagliptin Tablet,Tenali Tablet,Dizziness,Headache,Diarrhea
624,acefen sp tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Kace S 100mg/500mg/15mg Tablet,Starnac Plus 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain
625,aceclopar 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
626,acotrust  od 300mg tablet er,Acotop 300mg Tablet ER,Dycotiam SR 300mg Tablet,Orgamide 300mg Tablet ER,Actapro OD Tablet,Acogut 300 ER Tablet,Headache,Diarrhea,
627,avas 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion
628,acegaba nt 400mg/10mg tablet,Nervic-NT Tablet,Gabanyt 400mg/10mg Tablet,Mylamin GN Tablet,Dutam Plus Tablet,Arobaba NT 400mg/10mg Tablet,Constipation,Difficulty in urination,Weight gain
629,alerid cold tablet,Demlar 5mg/325mg/10mg Tablet,Evercold Plus 5mg/325mg/10mg Tablet,Bio CC 5mg/325mg/10mg Tablet,Okacet Cold Tablet,Cheston Cold Tablet,Nausea,Vomiting,Headache
630,acolate tablet,L Dio Plus Tablet,Zincold LP Tablet,Lecold Plus Tablet,Nazoset Tablet,Votcold Tablet,Nausea,Vomiting,Sleepiness
631,antoxid e softgel capsule,Zevion 400 Capsule,Evopin 400 Capsule,E-Gen 400 Capsule,Toco-E 400 Capsule,,Headache,Dizziness,Blurred vision
632,agoprex tablet,AGOVIZ 25MG TABLET,CIRCALTIN 25 MG TABLET,Agodep 25mg Tablet,Simelatin 25mg Tablet,Agopose 25mg Tablet,Headache,Nausea,Dizziness
633,amlip 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea
634,alnitro 2.6 tablet cr,Nestin 2.6mg Tablet CR,Anglit 2.6 Tablet CR,Ntgn 2.6 Tablet CR,Nitrolife 2.6 Tablet CR,Nitro-G 2.6 Tablet CR,Blurred vision,Decreased blood pressure,Dizziness
635,alkem piroxicam injection,Mizocam Injection,Zoxicam 20mg Injection,P Cam 20mg Injection,Doloage 20mg Injection,Campy Injection,"Injection site reactions (pain, swelling, redness)",Vomiting,Stomach pain
636,azithral junior 200mg/5ml drop,Zohri 200mg/5ml Drop,,,,,Vomiting,Nausea,Abdominal pain
637,amtris cream,Amrosys Cream,Amrolstar Cream,Amrfy XL 0.25% Cream,Amrolstar Cream,Amrosys Cream,Blisters on skin,Nail disorder,Skin irritation
638,af 300 tablet,Aceflu 300 Tablet,Fluvell 300mg Tablet,Megmazole 300mg Tablet,Xiffung 300mg Tablet,Vilofung 300 Tablet,Headache,Nausea,Stomach pain
639,alaspan ag syrup,Daslin NF Syrup,Extus Syrup,Alastin AG Syrup,Magnatuss A Syrup,Lorfast-AM Syrup,Nausea,Diarrhea,Vomiting
640,asthalin ax jr expectorant,Levolin Plus Jr Expectorant,Bricarex LS Expectorant,Asthakind-LS Junior Expectorant,,,Nausea,Vomiting,Diarrhea
641,abiways 200 sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abevia 200 SR Tablet,Nausea,Headache,Vomiting
642,atorva 5 tablet,Orvas 5 Tablet,Zivast 5 Tablet,Atorslim 5mg Tablet,Nustat 5mg Tablet,Atorise 5mg Tablet,Dyspepsia,Abdominal pain,Indigestion
643,ambizyme 300mg tablet,,,,,,Headache,Nausea,Hair loss
644,acegrow 3d tablet,Enact-3D Tablet,AFM Tablet,Acebronk MFX 10mg/120mg/200mg Tablet,Sebnix FM 10mg/120mg/200mg Tablet,Fexmont Ace 10mg/120mg/200mg Tablet,Nausea,Vomiting,Diarrhea
645,alerfri tablet,Alril Tablet,Elzico New Tablet,Contus Plus Tablet,Capnyl Tablet,Freshmol Active Tablet,Nausea,Headache,Insomnia (difficulty in sleeping)
646,azee 500 injection,Zycin 500mg Injection,Mzee 500mg Injection,Aziwok 500mg Injection,Azirow 500mg Injection,Toracin 500mg Injection,"Injection site reactions (pain, swelling, redness)",Vomiting,Nausea
647,azenam 1gm injection,Reonam 1gm Injection,Druzem 1gm Injection,Azotum 1gm Injection,Limonam 1gm Injection,Manvit 1gm Injection,Rash,"Injection site reactions (pain, swelling, redness)",Vomiting
648,aceret 25 capsule,Bdace 25mg Capsule,Sentrane 25mg Capsule,Glacitret 25mg Capsule,Acitrin 25mg Capsule,Acitkon 25mg Capsule,Dryness in mouth,Skin peeling,Itching
649,alkarate liquid,Alkel Liquid,Citralite Liquid,Alkel Liquid,,,Stomach pain,Tiredness,Diarrhea
650,alprax plus tablet sr,Neosert Plus 0.5mg/25mg Tablet SR,,,,,Nausea,Vomiting,Diarrhea
651,arachitol 3l injection,Kalzin 3L Injection,NU D3 300000IU Injection,Avcal D3 Injection,,,"Injection site reactions (pain, swelling, redness)",Weakness,Muscle pain
652,alex junior ds syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite
653,amtas-m 25 tablet pr,DavaIndia Amlodipine+Metoprolol Succinate 5mg/25mg Tablet PR,Metadon 25 AM Tablet PR,Gudpres-AM 25 Tablet PR,Amlokind Beta 5mg/25mg Tablet PR,Amloss-Beta Tablet PR,Nausea,Slow heart rate,Abdominal pain
654,anset 4mg tablet md,Vorast 4mg Tablet MD,Vomiford -MD Tablet,Vomigen 4mg Tablet MD,Emetosim Tablet MD,Vomiflux 4mg Tablet MD,Constipation,Diarrhea,Fatigue
655,acecloren tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain
656,atraxin 25 tablet,HD Zine 25mg Tablet,Hyzox 25 Tablet,Hizet 25mg Tablet,Hydil 25mg Tablet,Zyzine 25mg Tablet,Sedation,Nausea,Vomiting
657,atorva gold 10 capsule,Atchol Gold 10 Capsule,Clavix Gold 10 Capsule,Atormac Gold 10 Capsule,Atonita Gold 75mg/10mg/75mg Capsule,Clopitab-CV Gold 10 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
658,amlong-tl 40 tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Amlopres TL Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache
659,apidra 100iu/ml solution for injection,Apidra 100IU Cartridge,,,,,Hypoglycemia (low blood glucose level),Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection
660,apraize 30 tablet,Apremist 30mg Tablet,Aplex 30mg Tablet,Aprotyl 30mg Tablet,Mprila Tablet,Pdlast Tablet,Diarrhea,Nausea,Vomiting
661,azithral 500mg injection,Zycin 500mg Injection,Mzee 500mg Injection,Aziwok 500mg Injection,Azirow 500mg Injection,Toracin 500mg Injection,"Injection site reactions (pain, swelling, redness)",Vomiting,Nausea
662,ampoxin 1gm injection,Elclox Injection,Ace 500 mg/500 mg Injection,Mix 500 mg/500 mg Injection,Syncocin 500 mg/500 mg Injection,Baxin 500 mg/500 mg Injection,Allergic reaction,Rash,Stomach pain
663,aspirin 300mg tablet,,,,,,Heartburn,Increased bleeding tendency,Nausea
664,akurit tablet,Scc JR 150 mg/75 mg Tablet,Zid Kid 150mg/75mg Tablet,Rimmax 2Fdc 150 mg/75 mg Tablet,Ticinex 150mg/75mg Tablet,Coxcure 150mg/75mg Tablet,Dark colored urine,Rash,Vomiting
665,agna 10000 capsule dr,Enzelo 10000 Capsule DR,Panstal Plus 10000 Capsule DR,,,,Stomach pain,Bloating,Diarrhea
666,alkashot b6 oral solution delicious pineapple sugar free,Lizerton B6 Oral Solution Orange Sugar Free,K Mac B6  Oral Solution,Noculi B6 Oral Solution,Potron MB6 Oral Solution Delicious Pineapple Sugar Free,Alkamax MB Alkamax MB6 Oral Solution,Diarrhea,Nausea,Vomiting
667,ascoril plus expectorant ginger lemon,Megaril Expectorant,Pulmo Rest S Expectorant,Respidac TBG Expectorant,Pedicute-A Expectorant,Sudin-EX Expectorant,Nausea,Indigestion,Bloating
668,atormac gold 10 capsule,Atchol Gold 10 Capsule,Atorlip Gold 10 Capsule,Clavix Gold 10 Capsule,Atonita Gold 75mg/10mg/75mg Capsule,Clopitab-CV Gold 10 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
669,altonil plus 5 tablet,,,,,,Headache,Common cold,Back pain
670,acimol-sp tablet,Nace Plus 100mg/15mg Tablet,Aclocare S 100mg/15mg Tablet,Aciana S 100mg/15mg Tablet,Aciky-S 100mg/15mg Tablet,Assert-S Tablet,Nausea,Vomiting,Heartburn
671,avas cv 20 capsule,Atorec CV 20 Capsule,Astin CV 20 Capsule,Atorsave CV 20 Capsule,Statiga CV 20mg/75mg Capsule,Deplatt-AV 20 Capsule,Stomach pain,Diarrhea,Indigestion
672,amlopres 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Headache,Fatigue,Nausea
673,aceclowal p 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
674,airtec fb 400 instacap,,,,,,Tremors,Dryness in mouth,Palpitations
675,ablung 100mg capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Oxybro 100 Capsule,Nausea,Headache,Vomiting
676,alex cold syrup berry,Histacare Syrup,Zincold PD Syrup,Noblok-AF Syrup,Welminic Syrup Gluten Free,Solvin Cold AF Syrup,Vomiting,Headache,Restlessness
677,armod 50 tablet,Acronite 50 Tablet,Walkalarm 50mg Tablet,Armovin 50 Tablet,Waklert 50 Tablet,Armovigil 50mg Tablet,Headache,Dizziness,Nausea
678,alcros sb 50 capsule,Subitral 50mg Capsule,IT-Mac SB Capsule,Flucos ITZ 50 Capsule,Itaspor-SB Capsule,I-Win SB 50 Capsule,Nausea,Common cold,Cough
679,ambrolite d plus syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite
680,alkem cold 5 mg/500 mg/5 mg tablet,Kolcare Tablet,Stalcold Tablet,Cetconil Tablet,Mucobar Cold Tablet,Nozee Tablet,Nausea,Vomiting,Headache
681,azovas t 40 tablet,Zeblong T 40mg/8mg Tablet,Telmed-AZ 40 Tablet,Telma AZ 40mg/8mg Tablet,Azilta T 40 Tablet,Emdip T 40mg/8mg Tablet,Dizziness,Headache,Nausea
682,a-ret 0.025% gel,Tronin 0.025% Gel,Renol 0.025% Gel,Factor A Gel,Dee-T Topical Gel,Retop-A 0.025% Gel,Erythema (skin redness),Skin irritation,Dry skin
683,anafortan drop,,,,,,Arrhythmia (irregular heartbeats),Constipation,Difficulty in urination
684,asomex-tm tablet,Espin TM  Tablet,,,,,Nausea,Taste change,Diarrhea
685,aloatm 5% solution,Hydrahair Max Solution,Minch-AT Solution,Minokem-N 5% Solution,Minokem-N 5% Solution,,Application site irritation,Itching,Headache
686,acekay sera tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Kace S 100mg/500mg/15mg Tablet,Starnac Plus 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain
687,alprax 1mg tablet sr,Ansilumirm 1mg Tablet SR,Anxit 1mg Tablet SR,Alpramax 1mg Tablet SR,Zolipax 1mg Tablet SR,Zolam 1mg Tablet SR,Lightheadedness,Drowsiness,
688,amoxible-cl 625 tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
689,alzil-m 10 tablet,Talimem 10 Tablet,Memancad D Tablet,Pezilus M 5mg/10mg Tablet,Donetine-M 10 Tablet,Alzigo M 5mg/10mg Tablet,Nausea,Vomiting,Loss of appetite
690,ageless tablet,Aisa  Tablet,,,,,Nausea,Vomiting,
691,apdrops dm eye drop,Moxiblu-D Eye Drop,Centaflox DX Eye Drop,Dexcin-M Eye Drop,Moxitak D Eye Drop,Occucom Eye Drop,Eye irritation,Eye discomfort,Blurred vision
692,agycin 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
693,aminowel infusion,Albumed Infusion,,,,,Folic acid deficiency,Chills,Fever
694,amnurite beta 10/40 er tablet,Triptorain-PR Tablet ER,,,,,Sedation,Weight gain,Fatigue
695,asklerol 3% injection,Troydoca 30mg Injection,,,,,Injection site pain,Pain in extremities,Thrombophlebitis
696,altonil 10 tablet,Delatonin Tablet,Cirkedian Tablet,Restfine 10mg Tablet,Lamrest 10 Tablet,Noctoryl 10mg Tablet,Headache,Drowsiness,
697,atorlip gold 10 capsule,Clavix Gold 10 Capsule,Lipicure Gold 10 Capsule,Atormac Gold 10 Capsule,Atonita Gold 75mg/10mg/75mg Capsule,Clopitab-CV Gold 10 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
698,anti druf lotion,Ketostar Anti Dandruff Lotion,AF-K Lotion,Konaz ZP Lotion,Nuforce Anti Dandruff Lotion,Dencross Scalp Lotion,"Application site reactions (burning, irritation, itching and redness)",,
699,aceloflam plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
700,altonil plus 10 tablet,,,,,,Headache,Common cold,Back pain
701,actemra 400 mg injection,,,,,,Headache,High blood pressure,Upper respiratory tract infection
702,ampilox cv 500 mg/125 mg tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
703,alconol 500mg tablet,DavaIndia Disulfiram 500mg Tablet,Cronodol 500mg Tablet,Disfit 500 Tablet,Dizone 500mg Tablet,Gigadif 500mg Tablet,Headache,Fatigue,Drowsiness
704,atchol cv capsule,Lipikind CV 10mg/75mg Capsule,Starclop-AV 10 Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
705,atormac gold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
706,allegra 120mg tablet,Lcfex Tablet,Etofex 120mg Tablet,F Din 120mg Tablet,Nexofex 120mg Tablet,Fexise 120mg Tablet,Headache,Drowsiness,Dizziness
707,acepar 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
708,ampanel 4 tablet,Perampil 4mg Tablet,Hetram 4mg Tablet,Percompa 4mg Tablet,Addperam 4mg Tablet,Perampa 4mg Tablet,Dizziness,Sleepiness,Fatigue
709,albutamol syrup,Asthacure Plus Syrup,Ventidil B S Syrup,,,,Nausea,Vomiting,Bloating
710,aztor ez tablet,Orvas-EZ Tablet,Aova-EZ 10mg/10mg Tablet,Zuvas E 10mg/10mg Tablet,Jvastor-EZ 10mg/10mg Tablet,Atba EZ 10mg/10mg Tablet,Nausea,Muscle pain,Increased transaminase level in blood
711,alfakit tablet,Renoalfa Tablet,Nefrosave Keto Tablet,Ketodel Tablet,Ketomega Tablet,Henalog Tablet,No common side effects seen,,
712,atocor 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
713,amitryn 25 tablet,Amidep 25mg Tablet,Amitril 25mg Tablet,Amitar 25mg Tablet,Latilin 25mg Tablet,Amiford 25mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
714,atormac cv 20 capsule,Atorec CV 20 Capsule,Avas CV 20 Capsule,Astin CV 20 Capsule,Atorsave CV 20 Capsule,Statiga CV 20mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
715,amrofast cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation
716,arbitel-mt 25 tablet er,Telmikaa MT 25 Tablet ER,Telvas Beta 25 Tablet ER,Telmikind Beta 40mg/25mg Tablet ER,Macsart Beta 25 Tablet ER,Telmed Beta 25 Tablet ER,Headache,Weakness,Dizziness
717,azithral-xl 100 liquid,Infurox 100mg Oral Suspension,Ibithral 100 Rediuse Oral Suspension,Zithro Oral Suspension,Azilide 100 RediMed Oral Suspension,Azikem 100mg/5ml Oral Suspension,Vomiting,Nausea,Abdominal pain
718,azi 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
719,alphadopa tablet,Emdopa 250mg Tablet,Aldopam 250mg Tablet,AM Dopa 250mg Tablet,GYNAPRES 250MG TABLET,Dopah 250 Tablet,Dizziness,Fatigue,Dryness in mouth
720,abz 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes
721,allerkast lc tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth
722,amlodac t 40 mg/5 mg tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Amlopres TL Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache
723,ascodex dx syrup,Vistadex Syrup,Ascodex Cough Syrup,Aldrex Syrup,Imcuf DMR Syrup,Fencough Syrup,Nausea,Indigestion,Bloating
724,aerodil-ls expectorant,Usal LS Expectorant,Sulung PD Expectorant,Tuspel LS Expectorant,Bro-Zedex  LS 0.5 Expectorant Raspberry,Macbery Junior  Expectorant,Nausea,Vomiting,Diarrhea
725,absolut dm capsule,Myelogen Forte Capsule,,,,,Limited data available,,
726,azikind 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
727,avoprost d 8mg/0.5mg capsule,Prostagard-D8 Capsule,Sildonix-D Capsule,Seeflow-D Capsule,Silocare D 8 Capsule,Silocap-D Capsule,Ejaculation disorder,Impotence,Headache
728,arbitel-av tablet,StayHappi Telmisartan+Atorvastatin 40mg/10mg Tablet,Tesarto-A 40mg/10mg Tablet,Lipisar 40 mg/10 mg Tablet,Telbax ST 40mg/10mg Tablet,STALIA A  TABLET 40 MG/10 MG,Nausea,Stomach pain,Constipation
729,amlopres-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
730,atorlip 80 tablet,Atorsave 80 Tablet,Jubicad 80mg Tablet,Statix 80mg Tablet,Dispitor 80mg Tablet,Modlip 80mg Tablet,Dyspepsia,Abdominal pain,Indigestion
731,aquasurge  max eye drop,Lubrifresh Gel Eye Drop,Misty Gel,Lubrifresh Gel,Ultra Gel Eye Drop,Just Tears Liquigel,Eye irritation,Burning eyes,Eye discomfort
732,androgel,Androfil Gel,Testoheal Gel,Androtas Gel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change
733,atocor-cv 10 capsule,Lipikind CV 10mg/75mg Capsule,Atorniz-C Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Stomach pain,Diarrhea,Indigestion
734,amnuring 5 tablet sr,Triptorain-MC 5 Tablet SR,,,,,Constipation,Difficulty in urination,Weight gain
735,aldactone t 10 tablet,Vitator SP Tablet,Torsid Plus 10/50 Tablet,Torspec Plus 50mg/10mg Tablet,Jbtor Plus 50mg/10mg Tablet,Pretor Plus 50mg/10mg Tablet,Dizziness,Frequent urge to urinate,Headache
736,ascodex plus syrup,Viscosin Syrup,Bromodyne Syrup,Amohist Syrup,,,Nausea,Diarrhea,Bloating
